"total_size","draw","method","accuracy","auc"
20,14,"RF",0.95,0.925
20,14,"XGB",0.5,0.5
20,15,"LOGIS",0.8,0.8
20,15,"SVM",0.45,0.65
20,15,"KNN",0.5,0
20,15,"RF",0.65,0.75
20,15,"XGB",0.5,0.5
20,16,"LOGIS",0.8,0.8
20,16,"SVM",0.8,0.8
20,16,"KNN",0.6,0
20,16,"RF",0.75,0.75
20,16,"XGB",0.5,0.5
20,17,"LOGIS",0.8,0.75
20,17,"SVM",0.8,0.85
20,17,"KNN",0.5,0
20,17,"RF",0.8,0.85
20,17,"XGB",0.5,0.5
20,18,"LOGIS",0.9,0.9
20,18,"SVM",0.9,0.9
20,18,"KNN",0.6,0
20,18,"RF",0.95,0.925
20,18,"XGB",0.5,0.5
20,19,"LOGIS",0.8,0.85
20,19,"SVM",0.75,0.85
20,19,"KNN",0.35,0
20,19,"RF",0.8,0.8
20,19,"XGB",0.5,0.5
20,20,"LOGIS",0.85,0.9
20,20,"SVM",0.85,0.85
20,20,"KNN",0.6,0
20,20,"RF",0.8,0.7
20,20,"XGB",0.5,0.5
20,21,"LOGIS",0.75,0.7
20,21,"SVM",0.65,0.75
20,21,"KNN",0.5,0
20,21,"RF",0.45,0.65
20,21,"XGB",0.5,0.5
20,22,"LOGIS",0.85,0.85
20,22,"SVM",0.9,0.85
20,22,"KNN",0.55,0
20,22,"RF",0.7,0.8
20,22,"XGB",0.5,0.5
20,23,"LOGIS",0.75,0.75
20,23,"SVM",0.4,0.2
20,23,"KNN",0.5,0
20,23,"RF",0.8,0.85
20,23,"XGB",0.5,0.5
20,24,"LOGIS",0.75,0.85
20,24,"SVM",0.7,0.8
20,24,"KNN",0.65,0
20,24,"RF",0.7,0.75
20,24,"XGB",0.5,0.5
20,25,"LOGIS",0.85,0.95
20,25,"SVM",0.9,1
20,25,"KNN",0.55,0
20,25,"RF",0.95,0.975
20,25,"XGB",0.5,0.5
20,26,"LOGIS",0.75,0.8
20,26,"SVM",0.7,0.8
20,26,"KNN",0.45,0
20,26,"RF",0.75,0.8
20,26,"XGB",0.5,0.5
20,27,"LOGIS",0.9,1
20,27,"SVM",0.9,1
20,27,"KNN",0.55,0
20,27,"RF",0.85,0.95
20,27,"XGB",0.5,0.5
20,28,"LOGIS",0.6,0.65
20,28,"SVM",0.4,0.35
20,28,"KNN",0.35,0
20,28,"RF",0.6,0.6
20,28,"XGB",0.5,0.5
20,29,"LOGIS",0.85,0.95
20,29,"SVM",0.8,0.95
20,29,"KNN",0.55,0
20,29,"RF",0.8,0.9
20,29,"XGB",0.5,0.5
20,30,"LOGIS",0.8,0.95
20,30,"SVM",0.8,0.85
20,30,"KNN",0.45,0
20,30,"RF",0.8,0.875
20,30,"XGB",0.5,0.5
30,1,"LOGIS",0.8,0.844444444444444
30,1,"SVM",0.766666666666667,0.844444444444444
30,1,"KNN",0.7,0
30,1,"RF",0.733333333333333,0.811111111111111
30,1,"XGB",0.833333333333333,0.833333333333333
30,2,"LOGIS",0.7,0.688888888888889
30,2,"SVM",0.666666666666667,0.711111111111111
30,2,"KNN",0.633333333333333,0
30,2,"RF",0.633333333333333,0.722222222222222
30,2,"XGB",0.6,0.6
30,3,"LOGIS",0.9,0.888888888888889
30,3,"SVM",0.9,0.911111111111111
30,3,"KNN",0.866666666666667,0
30,3,"RF",0.8,0.844444444444444
30,3,"XGB",0.9,0.9
30,4,"LOGIS",0.866666666666667,0.911111111111111
30,4,"SVM",0.9,0.911111111111111
30,4,"KNN",0.8,0
30,4,"RF",0.866666666666667,0.888888888888889
30,4,"XGB",0.8,0.8
30,5,"LOGIS",0.833333333333333,0.888888888888889
30,5,"SVM",0.833333333333333,0.866666666666667
30,5,"KNN",0.8,0
30,5,"RF",0.733333333333333,0.822222222222222
30,5,"XGB",0.766666666666667,0.766666666666667
30,6,"LOGIS",0.9,0.911111111111111
30,6,"SVM",0.8,0.888888888888889
30,6,"KNN",0.733333333333333,0
30,6,"RF",0.866666666666667,0.9
30,6,"XGB",0.833333333333333,0.833333333333333
30,7,"LOGIS",0.733333333333333,0.8
30,7,"SVM",0.7,0.822222222222222
30,7,"KNN",0.733333333333333,0
30,7,"RF",0.7,0.8
30,7,"XGB",0.7,0.7
30,8,"LOGIS",0.766666666666667,0.888888888888889
30,8,"SVM",0.766666666666667,0.888888888888889
30,8,"KNN",0.766666666666667,0
30,8,"RF",0.766666666666667,0.888888888888889
30,8,"XGB",0.733333333333333,0.733333333333333
30,9,"LOGIS",0.866666666666667,0.888888888888889
30,9,"SVM",0.833333333333333,0.866666666666667
30,9,"KNN",0.833333333333333,0
30,9,"RF",0.8,0.855555555555556
30,9,"XGB",0.833333333333333,0.833333333333333
30,10,"LOGIS",0.933333333333333,0.933333333333333
30,10,"SVM",0.833333333333333,0.933333333333333
30,10,"KNN",0.9,0
30,10,"RF",0.9,0.944444444444444
30,10,"XGB",0.866666666666667,0.866666666666667
30,11,"LOGIS",0.733333333333333,0.822222222222222
30,11,"SVM",0.733333333333333,0.888888888888889
30,11,"KNN",0.666666666666667,0
30,11,"RF",0.766666666666667,0.822222222222222
30,11,"XGB",0.766666666666667,0.766666666666667
30,12,"LOGIS",0.866666666666667,0.955555555555556
30,12,"SVM",0.9,0.911111111111111
30,12,"KNN",0.866666666666667,0
30,12,"RF",0.9,0.911111111111111
30,12,"XGB",0.9,0.9
30,13,"LOGIS",0.833333333333333,0.844444444444444
30,13,"SVM",0.766666666666667,0.888888888888889
30,13,"KNN",0.766666666666667,0
30,13,"RF",0.766666666666667,0.811111111111111
30,13,"XGB",0.8,0.8
30,14,"LOGIS",0.666666666666667,0.777777777777778
30,14,"SVM",0.5,0.511111111111111
30,14,"KNN",0.733333333333333,0
30,14,"RF",0.533333333333333,0.677777777777778
30,14,"XGB",0.533333333333333,0.533333333333333
30,15,"LOGIS",0.8,0.888888888888889
30,15,"SVM",0.833333333333333,0.844444444444444
30,15,"KNN",0.8,0
30,15,"RF",0.866666666666667,0.866666666666667
30,15,"XGB",0.866666666666667,0.866666666666667
30,16,"LOGIS",0.8,0.822222222222222
30,16,"SVM",0.733333333333333,0.866666666666667
30,16,"KNN",0.7,0
30,16,"RF",0.8,0.855555555555556
30,16,"XGB",0.7,0.7
30,17,"LOGIS",0.733333333333333,0.844444444444444
30,17,"SVM",0.766666666666667,0.8
30,17,"KNN",0.733333333333333,0
30,17,"RF",0.7,0.822222222222222
30,17,"XGB",0.7,0.7
30,18,"LOGIS",0.733333333333333,0.755555555555556
30,18,"SVM",0.7,0.777777777777778
30,18,"KNN",0.6,0
30,18,"RF",0.733333333333333,0.777777777777778
30,18,"XGB",0.7,0.7
30,19,"LOGIS",0.866666666666667,0.888888888888889
30,19,"SVM",0.833333333333333,0.933333333333333
30,19,"KNN",0.833333333333333,0
30,19,"RF",0.833333333333333,0.888888888888889
30,19,"XGB",0.766666666666667,0.766666666666667
30,20,"LOGIS",0.733333333333333,0.888888888888889
30,20,"SVM",0.733333333333333,0.911111111111111
30,20,"KNN",0.833333333333333,0
30,20,"RF",0.733333333333333,0.977777777777778
30,20,"XGB",0.8,0.8
30,21,"LOGIS",0.8,0.844444444444444
30,21,"SVM",0.833333333333333,0.888888888888889
30,21,"KNN",0.8,0
30,21,"RF",0.766666666666667,0.844444444444444
30,21,"XGB",0.733333333333333,0.733333333333333
30,22,"LOGIS",0.533333333333333,0.533333333333333
30,22,"SVM",0.5,0.377777777777778
30,22,"KNN",0.566666666666667,0
30,22,"RF",0.466666666666667,0.555555555555556
30,22,"XGB",0.566666666666667,0.566666666666667
30,23,"LOGIS",0.7,0.8
30,23,"SVM",0.7,0.666666666666667
30,23,"KNN",0.633333333333333,0
30,23,"RF",0.6,0.644444444444444
30,23,"XGB",0.7,0.7
30,24,"LOGIS",0.733333333333333,0.844444444444444
30,24,"SVM",0.666666666666667,0.8
30,24,"KNN",0.7,0
30,24,"RF",0.7,0.788888888888889
30,24,"XGB",0.766666666666667,0.766666666666667
30,25,"LOGIS",0.833333333333333,0.866666666666667
30,25,"SVM",0.8,0.888888888888889
30,25,"KNN",0.733333333333333,0
30,25,"RF",0.733333333333333,0.8
30,25,"XGB",0.666666666666667,0.666666666666667
30,26,"LOGIS",0.833333333333333,0.888888888888889
30,26,"SVM",0.8,0.888888888888889
30,26,"KNN",0.733333333333333,0
30,26,"RF",0.833333333333333,0.877777777777778
30,26,"XGB",0.8,0.8
30,27,"LOGIS",0.8,0.755555555555556
30,27,"SVM",0.433333333333333,0.555555555555556
30,27,"KNN",0.7,0
30,27,"RF",0.7,0.711111111111111
30,27,"XGB",0.7,0.7
30,28,"LOGIS",0.8,0.844444444444444
30,28,"SVM",0.833333333333333,0.844444444444444
30,28,"KNN",0.7,0
30,28,"RF",0.7,0.822222222222222
30,28,"XGB",0.733333333333333,0.733333333333333
30,29,"LOGIS",0.733333333333333,0.844444444444444
30,29,"SVM",0.9,0.933333333333333
30,29,"KNN",0.6,0
30,29,"RF",0.8,0.855555555555556
30,29,"XGB",0.733333333333333,0.733333333333333
30,30,"LOGIS",0.766666666666667,0.888888888888889
30,30,"SVM",0.733333333333333,0.866666666666667
30,30,"KNN",0.733333333333333,0
30,30,"RF",0.833333333333333,0.9
30,30,"XGB",0.666666666666667,0.666666666666667
40,1,"LOGIS",0.85,0.925
40,1,"SVM",0.875,0.9125
40,1,"KNN",0.875,0
40,1,"RF",0.85,0.89375
40,1,"XGB",0.875,0.8875
40,2,"LOGIS",0.725,0.7625
40,2,"SVM",0.675,0.75
40,2,"KNN",0.725,0
40,2,"RF",0.65,0.7625
40,2,"XGB",0.675,0.7625
40,3,"LOGIS",0.775,0.7875
40,3,"SVM",0.75,0.8125
40,3,"KNN",0.725,0
40,3,"RF",0.7,0.75625
40,3,"XGB",0.675,0.80625
40,4,"LOGIS",0.775,0.8125
40,4,"SVM",0.8,0.7875
40,4,"KNN",0.7,0
40,4,"RF",0.75,0.76875
40,4,"XGB",0.775,0.78125
40,5,"LOGIS",0.775,0.8375
40,5,"SVM",0.775,0.8125
40,5,"KNN",0.825,0
40,5,"RF",0.775,0.8375
40,5,"XGB",0.7,0.8625
40,6,"LOGIS",0.825,0.9125
40,6,"SVM",0.8,0.925
40,6,"KNN",0.85,0
40,6,"RF",0.775,0.925
40,6,"XGB",0.8,0.83125
40,7,"LOGIS",0.85,0.9
40,7,"SVM",0.925,0.9375
40,7,"KNN",0.85,0
40,7,"RF",0.825,0.925
40,7,"XGB",0.775,0.89375
40,8,"LOGIS",0.775,0.8375
40,8,"SVM",0.825,0.875
40,8,"KNN",0.8,0
40,8,"RF",0.8,0.89375
40,8,"XGB",0.775,0.85
40,9,"LOGIS",0.75,0.7875
40,9,"SVM",0.7,0.825
40,9,"KNN",0.725,0
40,9,"RF",0.675,0.725
40,9,"XGB",0.7,0.76875
40,10,"LOGIS",0.775,0.825
40,10,"SVM",0.8,0.8125
40,10,"KNN",0.775,0
40,10,"RF",0.775,0.83125
40,10,"XGB",0.775,0.8
40,11,"LOGIS",0.8,0.85
40,11,"SVM",0.85,0.9
40,11,"KNN",0.825,0
40,11,"RF",0.775,0.86875
40,11,"XGB",0.825,0.8125
40,12,"LOGIS",0.8,0.9
40,12,"SVM",0.8,0.925
40,12,"KNN",0.8,0
40,12,"RF",0.75,0.86875
40,12,"XGB",0.775,0.83125
40,13,"LOGIS",0.75,0.85
40,13,"SVM",0.775,0.85
40,13,"KNN",0.8,0
40,13,"RF",0.75,0.74375
40,13,"XGB",0.725,0.73125
40,14,"LOGIS",0.825,0.9125
40,14,"SVM",0.875,0.925
40,14,"KNN",0.825,0
40,14,"RF",0.85,0.925
40,14,"XGB",0.875,0.8875
40,15,"LOGIS",0.9,0.8875
40,15,"SVM",0.875,0.925
40,15,"KNN",0.9,0
40,15,"RF",0.85,0.90625
40,15,"XGB",0.825,0.90625
40,16,"LOGIS",0.825,0.8625
40,16,"SVM",0.8,0.8625
40,16,"KNN",0.775,0
40,16,"RF",0.775,0.79375
40,16,"XGB",0.75,0.8375
40,17,"LOGIS",0.775,0.8375
40,17,"SVM",0.85,0.9
40,17,"KNN",0.8,0
40,17,"RF",0.825,0.88125
40,17,"XGB",0.8,0.85
40,18,"LOGIS",0.7,0.8125
40,18,"SVM",0.825,0.875
40,18,"KNN",0.675,0
40,18,"RF",0.85,0.8875
40,18,"XGB",0.775,0.81875
40,19,"LOGIS",0.725,0.7875
40,19,"SVM",0.725,0.7875
40,19,"KNN",0.725,0
40,19,"RF",0.775,0.79375
40,19,"XGB",0.75,0.74375
40,20,"LOGIS",0.85,0.8875
40,20,"SVM",0.8,0.9125
40,20,"KNN",0.775,0
40,20,"RF",0.8,0.8875
40,20,"XGB",0.725,0.825
40,21,"LOGIS",0.7,0.8375
40,21,"SVM",0.7,0.875
40,21,"KNN",0.725,0
40,21,"RF",0.775,0.88125
40,21,"XGB",0.7,0.79375
40,22,"LOGIS",0.775,0.8125
40,22,"SVM",0.8,0.7625
40,22,"KNN",0.75,0
40,22,"RF",0.775,0.775
40,22,"XGB",0.8,0.81875
40,23,"LOGIS",0.725,0.7875
40,23,"SVM",0.825,0.8875
40,23,"KNN",0.625,0
40,23,"RF",0.7,0.78125
40,23,"XGB",0.825,0.83125
40,24,"LOGIS",0.8,0.9
40,24,"SVM",0.775,0.9125
40,24,"KNN",0.725,0
40,24,"RF",0.775,0.84375
40,24,"XGB",0.725,0.76875
40,25,"LOGIS",0.85,0.8625
40,25,"SVM",0.825,0.875
40,25,"KNN",0.775,0
40,25,"RF",0.775,0.875
40,25,"XGB",0.825,0.8375
40,26,"LOGIS",0.8,0.8375
40,26,"SVM",0.775,0.825
40,26,"KNN",0.8,0
40,26,"RF",0.725,0.8
40,26,"XGB",0.725,0.80625
40,27,"LOGIS",0.825,0.9125
40,27,"SVM",0.825,0.8625
40,27,"KNN",0.775,0
40,27,"RF",0.75,0.88125
40,27,"XGB",0.775,0.84375
40,28,"LOGIS",0.85,0.8875
40,28,"SVM",0.825,0.8875
40,28,"KNN",0.825,0
40,28,"RF",0.75,0.81875
40,28,"XGB",0.75,0.79375
40,29,"LOGIS",0.675,0.8125
40,29,"SVM",0.725,0.8125
40,29,"KNN",0.725,0
40,29,"RF",0.825,0.825
40,29,"XGB",0.7,0.71875
40,30,"LOGIS",0.8,0.925
40,30,"SVM",0.9,0.9375
40,30,"KNN",0.8,0
40,30,"RF",0.925,0.9375
40,30,"XGB",0.825,0.8875
50,1,"LOGIS",0.84,0.904
50,1,"SVM",0.84,0.936
50,1,"KNN",0.86,0
50,1,"RF",0.82,0.896
50,1,"XGB",0.82,0.896
50,2,"LOGIS",0.9,0.968
50,2,"SVM",0.92,0.952
50,2,"KNN",0.9,0
50,2,"RF",0.92,0.956
50,2,"XGB",0.9,0.928
50,3,"LOGIS",0.84,0.88
50,3,"SVM",0.8,0.904
50,3,"KNN",0.82,0
50,3,"RF",0.78,0.872
50,3,"XGB",0.68,0.812
50,4,"LOGIS",0.76,0.784
50,4,"SVM",0.74,0.808
50,4,"KNN",0.72,0
50,4,"RF",0.74,0.804
50,4,"XGB",0.7,0.792
50,5,"LOGIS",0.8,0.896
50,5,"SVM",0.84,0.872
50,5,"KNN",0.76,0
50,5,"RF",0.76,0.824
50,5,"XGB",0.82,0.86
50,6,"LOGIS",0.74,0.824
50,6,"SVM",0.68,0.744
50,6,"KNN",0.64,0
50,6,"RF",0.6,0.7
50,6,"XGB",0.64,0.684
50,7,"LOGIS",0.8,0.872
50,7,"SVM",0.8,0.872
50,7,"KNN",0.74,0
50,7,"RF",0.74,0.78
50,7,"XGB",0.74,0.828
50,8,"LOGIS",0.84,0.968
50,8,"SVM",0.8,0.864
50,8,"KNN",0.78,0
50,8,"RF",0.84,0.86
50,8,"XGB",0.78,0.86
50,9,"LOGIS",0.82,0.904
50,9,"SVM",0.82,0.88
50,9,"KNN",0.86,0
50,9,"RF",0.88,0.952
50,9,"XGB",0.88,0.912
50,10,"LOGIS",0.78,0.896
50,10,"SVM",0.74,0.872
50,10,"KNN",0.76,0
50,10,"RF",0.76,0.844
50,10,"XGB",0.76,0.848
50,11,"LOGIS",0.84,0.912
50,11,"SVM",0.82,0.944
50,11,"KNN",0.84,0
50,11,"RF",0.78,0.848
50,11,"XGB",0.78,0.82
50,12,"LOGIS",0.8,0.856
50,12,"SVM",0.8,0.816
50,12,"KNN",0.78,0
50,12,"RF",0.78,0.84
50,12,"XGB",0.74,0.836
50,13,"LOGIS",0.88,0.912
50,13,"SVM",0.82,0.88
50,13,"KNN",0.8,0
50,13,"RF",0.78,0.828
50,13,"XGB",0.8,0.84
50,14,"LOGIS",0.76,0.808
50,14,"SVM",0.72,0.808
50,14,"KNN",0.72,0
50,14,"RF",0.68,0.716
50,14,"XGB",0.68,0.732
50,15,"LOGIS",0.86,0.928
50,15,"SVM",0.82,0.896
50,15,"KNN",0.84,0
50,15,"RF",0.84,0.848
50,15,"XGB",0.82,0.84
50,16,"LOGIS",0.86,0.936
50,16,"SVM",0.9,0.904
50,16,"KNN",0.92,0
50,16,"RF",0.92,0.928
50,16,"XGB",0.9,0.92
50,17,"LOGIS",0.78,0.808
50,17,"SVM",0.52,0.568
50,17,"KNN",0.68,0
50,17,"RF",0.6,0.68
50,17,"XGB",0.68,0.72
50,18,"LOGIS",0.76,0.808
50,18,"SVM",0.78,0.832
50,18,"KNN",0.78,0
50,18,"RF",0.62,0.768
50,18,"XGB",0.78,0.84
50,19,"LOGIS",0.76,0.872
50,19,"SVM",0.78,0.832
50,19,"KNN",0.8,0
50,19,"RF",0.72,0.804
50,19,"XGB",0.7,0.808
50,20,"LOGIS",0.8,0.92
50,20,"SVM",0.78,0.888
50,20,"KNN",0.78,0
50,20,"RF",0.8,0.84
50,20,"XGB",0.78,0.852
50,21,"LOGIS",0.84,0.904
50,21,"SVM",0.78,0.88
50,21,"KNN",0.78,0
50,21,"RF",0.72,0.828
50,21,"XGB",0.76,0.8
50,22,"LOGIS",0.84,0.848
50,22,"SVM",0.8,0.832
50,22,"KNN",0.8,0
50,22,"RF",0.76,0.792
50,22,"XGB",0.78,0.812
50,23,"LOGIS",0.84,0.912
50,23,"SVM",0.8,0.864
50,23,"KNN",0.76,0
50,23,"RF",0.8,0.848
50,23,"XGB",0.8,0.856
50,24,"LOGIS",0.84,0.872
50,24,"SVM",0.86,0.824
50,24,"KNN",0.8,0
50,24,"RF",0.82,0.812
50,24,"XGB",0.82,0.824
50,25,"LOGIS",0.82,0.896
50,25,"SVM",0.84,0.896
50,25,"KNN",0.8,0
50,25,"RF",0.84,0.88
50,25,"XGB",0.8,0.884
50,26,"LOGIS",0.74,0.84
50,26,"SVM",0.62,0.76
50,26,"KNN",0.64,0
50,26,"RF",0.68,0.708
50,26,"XGB",0.62,0.7
50,27,"LOGIS",0.74,0.832
50,27,"SVM",0.74,0.872
50,27,"KNN",0.78,0
50,27,"RF",0.68,0.768
50,27,"XGB",0.76,0.8
50,28,"LOGIS",0.9,0.912
50,28,"SVM",0.82,0.92
50,28,"KNN",0.78,0
50,28,"RF",0.84,0.944
50,28,"XGB",0.9,0.916
50,29,"LOGIS",0.76,0.808
50,29,"SVM",0.8,0.816
50,29,"KNN",0.7,0
50,29,"RF",0.7,0.772
50,29,"XGB",0.68,0.74
50,30,"LOGIS",0.68,0.752
50,30,"SVM",0.7,0.736
50,30,"KNN",0.68,0
50,30,"RF",0.68,0.8
50,30,"XGB",0.64,0.696
60,1,"LOGIS",0.833333333333333,0.905555555555556
60,1,"SVM",0.783333333333333,0.894444444444444
60,1,"KNN",0.75,0
60,1,"RF",0.783333333333333,0.883333333333333
60,1,"XGB",0.683333333333333,0.830555555555556
60,2,"LOGIS",0.8,0.9
60,2,"SVM",0.7,0.838888888888889
60,2,"KNN",0.7,0
60,2,"RF",0.75,0.819444444444444
60,2,"XGB",0.766666666666667,0.791666666666667
60,3,"LOGIS",0.766666666666667,0.861111111111111
60,3,"SVM",0.766666666666667,0.855555555555556
60,3,"KNN",0.8,0
60,3,"RF",0.783333333333333,0.811111111111111
60,3,"XGB",0.75,0.816666666666667
60,4,"LOGIS",0.8,0.894444444444444
60,4,"SVM",0.75,0.816666666666667
60,4,"KNN",0.666666666666667,0
60,4,"RF",0.783333333333333,0.805555555555556
60,4,"XGB",0.75,0.769444444444444
60,5,"LOGIS",0.8,0.911111111111111
60,5,"SVM",0.766666666666667,0.905555555555556
60,5,"KNN",0.783333333333333,0
60,5,"RF",0.766666666666667,0.861111111111111
60,5,"XGB",0.75,0.861111111111111
60,6,"LOGIS",0.716666666666667,0.866666666666667
60,6,"SVM",0.733333333333333,0.844444444444444
60,6,"KNN",0.75,0
60,6,"RF",0.75,0.794444444444445
60,6,"XGB",0.75,0.844444444444444
60,7,"LOGIS",0.816666666666667,0.911111111111111
60,7,"SVM",0.783333333333333,0.861111111111111
60,7,"KNN",0.783333333333333,0
60,7,"RF",0.75,0.838888888888889
60,7,"XGB",0.716666666666667,0.852777777777778
60,8,"LOGIS",0.733333333333333,0.783333333333333
60,8,"SVM",0.6,0.722222222222222
60,8,"KNN",0.666666666666667,0
60,8,"RF",0.633333333333333,0.661111111111111
60,8,"XGB",0.7,0.722222222222222
60,9,"LOGIS",0.866666666666667,0.877777777777778
60,9,"SVM",0.766666666666667,0.838888888888889
60,9,"KNN",0.733333333333333,0
60,9,"RF",0.75,0.813888888888889
60,9,"XGB",0.783333333333333,0.836111111111111
60,10,"LOGIS",0.833333333333333,0.9
60,10,"SVM",0.783333333333333,0.888888888888889
60,10,"KNN",0.816666666666667,0
60,10,"RF",0.733333333333333,0.847222222222222
60,10,"XGB",0.783333333333333,0.838888888888889
60,11,"LOGIS",0.85,0.9
60,11,"SVM",0.85,0.9
60,11,"KNN",0.783333333333333,0
60,11,"RF",0.766666666666667,0.85
60,11,"XGB",0.733333333333333,0.869444444444444
60,12,"LOGIS",0.8,0.883333333333333
60,12,"SVM",0.716666666666667,0.816666666666667
60,12,"KNN",0.733333333333333,0
60,12,"RF",0.633333333333333,0.722222222222222
60,12,"XGB",0.683333333333333,0.777777777777778
60,13,"LOGIS",0.8,0.822222222222222
60,13,"SVM",0.75,0.8
60,13,"KNN",0.733333333333333,0
60,13,"RF",0.8,0.827777777777778
60,13,"XGB",0.766666666666667,0.811111111111111
60,14,"LOGIS",0.866666666666667,0.911111111111111
60,14,"SVM",0.866666666666667,0.9
60,14,"KNN",0.85,0
60,14,"RF",0.783333333333333,0.866666666666667
60,14,"XGB",0.833333333333333,0.85
60,15,"LOGIS",0.85,0.933333333333333
60,15,"SVM",0.75,0.894444444444444
60,15,"KNN",0.766666666666667,0
60,15,"RF",0.8,0.877777777777778
60,15,"XGB",0.833333333333333,0.852777777777778
60,16,"LOGIS",0.833333333333333,0.877777777777778
60,16,"SVM",0.816666666666667,0.872222222222222
60,16,"KNN",0.766666666666667,0
60,16,"RF",0.783333333333333,0.852777777777778
60,16,"XGB",0.783333333333333,0.913888888888889
60,17,"LOGIS",0.866666666666667,0.933333333333333
60,17,"SVM",0.85,0.927777777777778
60,17,"KNN",0.833333333333333,0
60,17,"RF",0.8,0.880555555555556
60,17,"XGB",0.766666666666667,0.922222222222222
60,18,"LOGIS",0.833333333333333,0.922222222222222
60,18,"SVM",0.766666666666667,0.85
60,18,"KNN",0.75,0
60,18,"RF",0.766666666666667,0.85
60,18,"XGB",0.85,0.877777777777778
60,19,"LOGIS",0.783333333333333,0.916666666666667
60,19,"SVM",0.733333333333333,0.9
60,19,"KNN",0.75,0
60,19,"RF",0.733333333333333,0.825
60,19,"XGB",0.75,0.827777777777778
60,20,"LOGIS",0.833333333333333,0.866666666666667
60,20,"SVM",0.833333333333333,0.883333333333333
60,20,"KNN",0.816666666666667,0
60,20,"RF",0.766666666666667,0.872222222222222
60,20,"XGB",0.816666666666667,0.841666666666667
60,21,"LOGIS",0.85,0.955555555555555
60,21,"SVM",0.866666666666667,0.916666666666667
60,21,"KNN",0.866666666666667,0
60,21,"RF",0.85,0.927777777777778
60,21,"XGB",0.85,0.888888888888889
60,22,"LOGIS",0.816666666666667,0.894444444444444
60,22,"SVM",0.75,0.866666666666667
60,22,"KNN",0.8,0
60,22,"RF",0.766666666666667,0.85
60,22,"XGB",0.8,0.872222222222222
60,23,"LOGIS",0.85,0.933333333333333
60,23,"SVM",0.8,0.905555555555556
60,23,"KNN",0.783333333333333,0
60,23,"RF",0.783333333333333,0.85
60,23,"XGB",0.766666666666667,0.877777777777778
60,24,"LOGIS",0.833333333333333,0.922222222222222
60,24,"SVM",0.85,0.9
60,24,"KNN",0.85,0
60,24,"RF",0.866666666666667,0.905555555555556
60,24,"XGB",0.816666666666667,0.894444444444445
60,25,"LOGIS",0.783333333333333,0.927777777777778
60,25,"SVM",0.8,0.855555555555556
60,25,"KNN",0.8,0
60,25,"RF",0.766666666666667,0.808333333333333
60,25,"XGB",0.8,0.847222222222222
60,26,"LOGIS",0.816666666666667,0.911111111111111
60,26,"SVM",0.816666666666667,0.916666666666667
60,26,"KNN",0.816666666666667,0
60,26,"RF",0.85,0.905555555555556
60,26,"XGB",0.816666666666667,0.888888888888889
60,27,"LOGIS",0.866666666666667,0.944444444444444
60,27,"SVM",0.866666666666667,0.927777777777778
60,27,"KNN",0.85,0
60,27,"RF",0.85,0.886111111111111
60,27,"XGB",0.85,0.930555555555556
60,28,"LOGIS",0.833333333333333,0.872222222222222
60,28,"SVM",0.816666666666667,0.883333333333333
60,28,"KNN",0.816666666666667,0
